City_Name,Lattitude,Longitude,Temperature(F),Humidity,Cloudiness,Windiness(mph)
pushchino,54.83,37.61,21.2,85,75,8.95
la tuque,47.44,-72.79,-10.67,53,0,5.5
malinovoye ozero,51.68,79.77,-23.85,36,0,4.61
qorveh,35.17,47.8,34.61,96,8,12.66
maniitsoq,65.42,-52.9,20.21,99,76,13.22
chaman,30.92,66.46,25.47,61,48,2.93
buyabod,13.47,122.05,75.6,100,24,17.58
dakar,14.69,-17.45,69.8,49,0,14.99
yibin,28.77,104.64,43.07,89,92,3.94
raton,36.9,-104.44,24.08,54,75,6.93
catuday,16.29,119.81,72.63,96,36,11.54
vanimo,-2.67,141.3,79.38,100,92,9.08
hundorp,61.55,9.94,-4.32,69,12,2.71
yantzaza,-3.83,-78.76,60.8,100,90,2.24
emba,34.81,32.42,50.0,87,40,9.17
alexandria,31.31,-92.44,64.94,59,20,7.63
shumikhinskiy,58.74,57.69,-1.13,67,12,7.18
kutum,14.2,24.66,56.43,41,0,6.73
muroto,33.37,134.14,46.4,36,20,12.75
geraldton,49.72,-86.95,-14.81,56,90,4.7
chickasha,35.05,-97.94,41.54,46,75,19.46
dolny kubin,49.21,19.3,28.4,100,75,2.24
tongzi,28.78,105.09,45.77,97,92,3.94
quelimane,-17.88,36.89,77.0,83,0,3.36
port hedland,-20.31,118.58,84.2,70,0,6.93
